freq/Hz	-Im(Z)/Ohm	Re(Z)/Ohm	
9.5902617E+004	1.9364939E+003	4.7318015E+002
7.1537258E+004	2.4626311E+003	6.8102490E+002
5.3369953E+004	3.1396792E+003	1.1046836E+003
3.9814063E+004	3.9668589E+003	1.5557104E+003
2.9700492E+004	4.6760947E+003	2.5421028E+003
2.2157064E+004	5.3671230E+003	3.7753977E+003
1.6525014E+004	5.8984185E+003	5.2301958E+003
1.2331135E+004	5.9416929E+003	6.7675508E+003
9.2288525E+003	5.8064917E+003	8.0721313E+003
6.9032866E+003	5.3059565E+003	9.3173447E+003
5.1200850E+003	4.9897573E+003	1.0305819E+004
3.8163364E+003	4.4872261E+003	1.1167485E+004
2.8472668E+003	4.1323096E+003	1.2008087E+004
2.1256799E+003	3.7699822E+003	1.2251046E+004
1.5855076E+003	3.6469434E+003	1.2811875E+004
1.1818910E+003	3.7987146E+003	1.3061706E+004
8.8141022E+002	3.8630942E+003	1.4191224E+004
6.5768494E+002	4.2126177E+003	1.4464026E+004
4.9078522E+002	4.5933237E+003	1.4879742E+004
3.6605426E+002	5.2585454E+003	1.5471819E+004
2.7299075E+002	6.2824097E+003	1.5563941E+004
2.0376114E+002	7.7091426E+003	1.6615557E+004
1.5199416E+002	8.9589355E+003	1.7477609E+004
1.1343907E+002	1.0858627E+004	1.8857848E+004
8.4593941E+001	1.3192195E+004	2.0066287E+004
6.3082302E+001	1.5835453E+004	2.1340816E+004
4.7063255E+001	1.9424498E+004	2.3186631E+004
3.5101093E+001	2.3985027E+004	2.4843014E+004
2.6181301E+001	2.9568230E+004	2.7231576E+004
1.9531252E+001	3.6096559E+004	3.0032406E+004
1.4575557E+001	4.6194555E+004	3.3283668E+004
1.0880919E+001	5.6538633E+004	3.6806516E+004
8.1042528E+000	7.0509961E+004	4.2503934E+004
6.0468264E+000	8.8539430E+004	4.5965871E+004
4.5106812E+000	1.0986279E+005	5.4210340E+004
3.3674569E+000	1.4329331E+005	6.4071031E+004
2.5136740E+000	1.8133717E+005	7.0589406E+004
1.8744003E+000	2.3255747E+005	8.5933648E+004
1.3970852E+000	2.9006384E+005	1.0162892E+005
1.0433360E+000	3.6389909E+005	1.1782148E+005
7.7705413E-001	4.9480594E+005	1.6728723E+005
5.7999259E-001	5.5158613E+005	1.9947738E+005
4.3258584E-001	7.7423069E+005	2.5534592E+005
3.2293734E-001	1.0370525E+006	2.9457075E+005
2.4074021E-001	1.3607654E+006	3.7373744E+005
1.7979608E-001	1.7652025E+006	5.2597700E+005
1.3415243E-001	2.0999930E+006	6.4606950E+005
9.9904113E-002	2.9412570E+006	8.2494381E+005
1.0000186E+006	1.6188329E+002	2.3938470E-001
7.4598238E+005	2.4892123E+002	3.8157651E+000
5.5648750E+005	3.3957706E+002	7.2837486E+000
4.1512953E+005	4.6664407E+002	1.1709135E+001
3.0967934E+005	6.5154065E+002	2.0901608E+001
2.3101619E+005	8.7080200E+002	2.6825705E+001
1.7232964E+005	1.1699382E+003	1.2392798E+001
1.2855367E+005	1.5919910E+003	3.0912731E+001
9.5902617E+004	2.0575256E+003	3.1267179E+001
7.1537258E+004	2.7351089E+003	3.0680227E+001
5.3369953E+004	3.7548518E+003	1.6434470E+002
3.9814063E+004	4.9516855E+003	6.8862968E+001
2.9700492E+004	6.6119429E+003	6.7984001E+001
2.2157064E+004	8.9095996E+003	7.1521309E+001
1.6525014E+004	1.1708158E+004	1.6362077E+002
1.2331135E+004	1.5681201E+004	4.6761426E+002
9.2288525E+003	2.1461410E+004	6.2024072E+002
6.9032866E+003	2.8755787E+004	2.1113262E+003
5.1200850E+003	3.7997070E+004	-4.8156055E+002
3.8163364E+003	5.0174289E+004	3.0726257E+003
2.8472668E+003	6.7734227E+004	5.5036426E+003
2.1256799E+003	8.9911953E+004	5.1363672E+003
1.5855076E+003	1.1729257E+005	1.0386269E+004
1.1818910E+003	1.5602588E+005	1.5558073E+004
8.8141022E+002	2.0741588E+005	2.5400703E+004
6.5768494E+002	2.8224259E+005	3.4351684E+004
4.9078522E+002	4.0490638E+005	4.2479523E+004
3.6605426E+002	4.2387691E+005	1.0240341E+005
2.7299075E+002	5.6862019E+005	9.8379094E+004
2.0376114E+002	7.6594269E+005	2.4790464E+005
1.5199416E+002	8.7638994E+005	4.1410456E+005
1.1343907E+002	8.9362631E+005	7.5666013E+005
8.4593941E+001	1.2997119E+006	7.2271069E+005
6.3082302E+001	1.1091363E+006	7.3351744E+005
4.7063255E+001	2.9430606E+005	3.3264043E+006
3.5101093E+001	4.4438294E+005	1.1772778E+006
2.6181301E+001	-1.2492938E+006	1.2064184E+006
1.9531252E+001	5.7720181E+005	1.5876823E+006
1.4575557E+001	1.6756671E+006	7.0937081E+005
1.0880919E+001	-3.5944575E+005	1.9618939E+006
8.1042528E+000	2.1601500E+006	2.6846820E+006
6.0468264E+000	7.3132256E+005	1.8241359E+006
4.5106812E+000	9.3761238E+005	3.0293673E+006
3.3674569E+000	1.4010535E+006	2.4255523E+006
2.5136740E+000	4.3918506E+005	2.3393728E+006
1.8744003E+000	4.2755969E+005	3.4225838E+006
1.3970852E+000	1.0192129E+006	3.6392943E+006
1.0433360E+000	4.2298545E+006	1.7520378E+006
7.7705413E-001	8.6534000E+004	4.1220185E+006
5.7999259E-001	1.1208414E+004	6.9578531E+005
4.3258584E-001	-7.8936106E+005	1.0323940E+007
3.2293734E-001	2.8846378E+006	3.9844478E+006
2.4074021E-001	3.7100108E+006	6.4672455E+006
1.7979608E-001	7.7538985E+006	5.8967480E+006
1.3415243E-001	1.7620732E+007	5.8214795E+006
9.9904113E-002	1.4015965E+007	1.2434711E+007
1.0000186E+006	1.6704272E+002	-2.1203427E+000
7.4598238E+005	2.4332426E+002	-2.0360832E+000
5.5648750E+005	3.4335675E+002	6.1671553E+000
4.1512953E+005	4.6988754E+002	1.0025601E+001
3.0967934E+005	6.5872272E+002	2.2560080E+001
2.3101619E+005	8.8492078E+002	2.8379742E+001
